"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"Williamstown town, Massachusetts","Williamstown town","2500379985","00",,"00379985",7625,80900,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,867,872,1108,1381,1510,1108,1067,3.84255,41
"Windsor town, Massachusetts","Windsor town","2500380685","00",,"00380685",910,80900,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,867,872,1108,1381,1510,1108,1067,3.84255,41
"Acushnet town, Massachusetts","Acushnet town","2500500520","00",,"00500520",10445,74300,46650,53300,59950,66600,71950,77300,82600,87950,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,26200,30680,35160,39640,44120,770,784,962,1199,1303,962,933,3.10825,29
"Attleboro city, Massachusetts","Attleboro city","2500502690","00",,"00502690",44325,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Berkley town, Massachusetts","Berkley town","2500505280","00",,"00505280",6630,111900,54950,62800,70650,78500,84800,91100,97350,103650,36800,42050,47300,52550,56800,61000,65200,69400,22100,25250,28400,31550,34100,36600,39640,44120,785,953,1205,1543,1715,1205,1219,-1.1485,-14
"Dartmouth town, Massachusetts","Dartmouth town","2500516425","00",,"00516425",34340,74300,46650,53300,59950,66600,71950,77300,82600,87950,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,26200,30680,35160,39640,44120,770,784,962,1199,1303,962,933,3.10825,29
"Dighton town, Massachusetts","Dighton town","2500516950","00",,"00516950",7440,111900,54950,62800,70650,78500,84800,91100,97350,103650,36800,42050,47300,52550,56800,61000,65200,69400,22100,25250,28400,31550,34100,36600,39640,44120,785,953,1205,1543,1715,1205,1219,-1.1485,-14
"Easton town, Massachusetts","Easton town","2500520100","00",,"00520100",24000,121300,54950,62800,70650,78500,84800,91100,97350,103650,42500,48550,54600,60650,65550,70400,75250,80100,25500,29150,32800,36400,39350,42250,45150,48050,1114,1158,1525,2099,2266,1525,1487,2.55548,38
"Fairhaven town, Massachusetts","Fairhaven town","2500522130","00",,"00522130",16025,74300,46650,53300,59950,66600,71950,77300,82600,87950,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,26200,30680,35160,39640,44120,770,784,962,1199,1303,962,933,3.10825,29
"Fall River city, Massachusetts","Fall River city","2500523000","00",,"00523000",89260,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Freetown town, Massachusetts","Freetown town","2500525240","00",,"00525240",9175,74300,46650,53300,59950,66600,71950,77300,82600,87950,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,26200,30680,35160,39640,44120,770,784,962,1199,1303,962,933,3.10825,29
"Mansfield town, Massachusetts","Mansfield town","2500538225","00",,"00538225",23680,111900,54950,62800,70650,78500,84800,91100,97350,103650,36800,42050,47300,52550,56800,61000,65200,69400,22100,25250,28400,31550,34100,36600,39640,44120,785,953,1205,1543,1715,1205,1219,-1.1485,-14
"New Bedford city, Massachusetts","New Bedford city","2500545000","00",,"00545000",95125,74300,46650,53300,59950,66600,71950,77300,82600,87950,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,26200,30680,35160,39640,44120,770,784,962,1199,1303,962,933,3.10825,29
"North Attleborough town, Massachusetts","North Attleborough town","2500546575","00",,"00546575",29035,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Norton town, Massachusetts","Norton town","2500549970","00",,"00549970",19515,111900,54950,62800,70650,78500,84800,91100,97350,103650,36800,42050,47300,52550,56800,61000,65200,69400,22100,25250,28400,31550,34100,36600,39640,44120,785,953,1205,1543,1715,1205,1219,-1.1485,-14
"Raynham town, Massachusetts","Raynham town","2500556060","00",,"00556060",13845,121300,54950,62800,70650,78500,84800,91100,97350,103650,42500,48550,54600,60650,65550,70400,75250,80100,25500,29150,32800,36400,39350,42250,45150,48050,1114,1158,1525,2099,2266,1525,1487,2.55548,38
"Rehoboth town, Massachusetts","Rehoboth town","2500556375","00",,"00556375",11990,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Seekonk town, Massachusetts","Seekonk town","2500560645","00",,"00560645",14955,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Somerset town, Massachusetts","Somerset town","2500562430","00",,"00562430",18255,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Swansea town, Massachusetts","Swansea town","2500568750","00",,"00568750",16340,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Taunton city, Massachusetts","Taunton city","2500569170","00",,"00569170",56825,111900,54950,62800,70650,78500,84800,91100,97350,103650,36800,42050,47300,52550,56800,61000,65200,69400,22100,25250,28400,31550,34100,36600,39640,44120,785,953,1205,1543,1715,1205,1219,-1.1485,-14
"Westport town, Massachusetts","Westport town","2500577570","00",,"00577570",15810,87000,48750,55700,62650,69600,75200,80750,86350,91900,30450,34800,39150,43500,47000,50500,53950,57450,18300,20900,23500,26200,30680,35160,39640,44120,794,898,1075,1340,1591,1075,1060,1.41509,15
"Aquinnah town, Massachusetts","Aquinnah town","2500701585","00",,"00701585",640,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Chilmark town, Massachusetts","Chilmark town","2500713800","00",,"00713800",1115,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Edgartown town, Massachusetts","Edgartown town","2500721150","00",,"00721150",4290,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Gosnold town, Massachusetts","Gosnold town","2500726325","00",,"00726325",35,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Oak Bluffs town, Massachusetts","Oak Bluffs town","2500750390","00",,"00750390",4675,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Tisbury town, Massachusetts","Tisbury town","2500769940","00",,"00769940",4100,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"West Tisbury town, Massachusetts","West Tisbury town","2500778235","00",,"00778235",2415,104800,56400,64450,72500,80550,87000,93450,99900,106350,36700,41950,47200,52400,56600,60800,65000,69200,22050,25200,28350,31450,34000,36500,39640,44120,1126,1518,1728,2153,2390,1728,1664,3.84615,64
"Amesbury Town city, Massachusetts","Amesbury Town city","2500901260","00",,"00901260",17220,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Andover town, Massachusetts","Andover town","2500901465","00",,"00901465",35375,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Beverly city, Massachusetts","Beverly city","2500905595","00",,"00905595",41430,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Boxford town, Massachusetts","Boxford town","2500907420","00",,"00907420",8230,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Danvers town, Massachusetts","Danvers town","2500916250","00",,"00916250",27525,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Essex town, Massachusetts","Essex town","2500921850","00",,"00921850",3685,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Georgetown town, Massachusetts","Georgetown town","2500925625","00",,"00925625",8570,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Gloucester city, Massachusetts","Gloucester city","2500926150","00",,"00926150",29860,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Groveland town, Massachusetts","Groveland town","2500927620","00",,"00927620",6695,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Hamilton town, Massachusetts","Hamilton town","2500927900","00",,"00927900",7990,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Haverhill city, Massachusetts","Haverhill city","2500929405","00",,"00929405",62945,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Ipswich town, Massachusetts","Ipswich town","2500932310","00",,"00932310",13810,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Lawrence city, Massachusetts","Lawrence city","2500934550","00",,"00934550",79495,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Lynn city, Massachusetts","Lynn city","2500937490","00",,"00937490",93070,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Lynnfield town, Massachusetts","Lynnfield town","2500937560","00",,"00937560",12730,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Manchester-by-the-Sea town, Massachusetts","Manchester-by-the-Sea town","2500937995","00",,"00937995",5325,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Marblehead town, Massachusetts","Marblehead town","2500938400","00",,"00938400",20395,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Merrimac town, Massachusetts","Merrimac town","2500940430","00",,"00940430",6750,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Methuen city, Massachusetts","Methuen city","2500940710","00",,"00940710",49575,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Middleton town, Massachusetts","Middleton town","2500941095","00",,"00941095",9655,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Nahant town, Massachusetts","Nahant town","2500943580","00",,"00943580",3490,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Newbury town, Massachusetts","Newbury town","2500945175","00",,"00945175",6965,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Newburyport city, Massachusetts","Newburyport city","2500945245","00",,"00945245",17890,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"North Andover town, Massachusetts","North Andover town","2500946365","00",,"00946365",30170,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Peabody city, Massachusetts","Peabody city","2500952490","00",,"00952490",52610,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Rockport town, Massachusetts","Rockport town","2500957880","00",,"00957880",7185,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Rowley town, Massachusetts","Rowley town","2500958405","00",,"00958405",6230,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Salem city, Massachusetts","Salem city","2500959105","00",,"00959105",43145,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Salisbury town, Massachusetts","Salisbury town","2500959245","00",,"00959245",9020,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Saugus town, Massachusetts","Saugus town","2500960015","00",,"00960015",28035,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Swampscott town, Massachusetts","Swampscott town","2500968645","00",,"00968645",14565,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Topsfield town, Massachusetts","Topsfield town","2500970150","00",,"00970150",6495,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"Wenham town, Massachusetts","Wenham town","2500974595","00",,"00974595",5180,119000,67400,77000,86650,96250,103950,111650,119350,127050,44800,51200,57600,63950,69100,74200,79300,84450,26850,30700,34550,38350,41450,44500,47600,50650,1715,1900,2311,2880,3131,2311,2194,5.33273,117
"West Newbury town, Massachusetts","West Newbury town","2500977150","00",,"00977150",4545,98000,54900,62750,70600,78400,84700,90950,97250,103500,34300,39200,44100,49000,52950,56850,60800,64700,20600,23550,26500,29400,31800,35160,39640,44120,970,1117,1438,1792,1948,1438,1357,5.96905,81
"Ashfield town, Massachusetts","Ashfield town","2501102095","00",,"01102095",1600,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Bernardston town, Massachusetts","Bernardston town","2501105560","00",,"01105560",2190,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Buckland town, Massachusetts","Buckland town","2501109595","00",,"01109595",1925,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Charlemont town, Massachusetts","Charlemont town","2501112505","00",,"01112505",1110,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Colrain town, Massachusetts","Colrain town","2501114885","00",,"01114885",1630,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Conway town, Massachusetts","Conway town","2501115200","00",,"01115200",1800,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Deerfield town, Massachusetts","Deerfield town","2501116670","00",,"01116670",5050,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Erving town, Massachusetts","Erving town","2501121780","00",,"01121780",1840,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Gill town, Massachusetts","Gill town","2501125730","00",,"01125730",1605,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Greenfield Town city, Massachusetts","Greenfield Town city","2501127100","00",,"01127100",17475,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Hawley town, Massachusetts","Hawley town","2501129475","00",,"01129475",425,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Heath town, Massachusetts","Heath town","2501129650","00",,"01129650",770,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Leverett town, Massachusetts","Leverett town","2501135180","00",,"01135180",1995,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Leyden town, Massachusetts","Leyden town","2501135285","00",,"01135285",675,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Monroe town, Massachusetts","Monroe town","2501142040","00",,"01142040",85,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Montague town, Massachusetts","Montague town","2501142285","00",,"01142285",8310,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"New Salem town, Massachusetts","New Salem town","2501145490","00",,"01145490",1020,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Northfield town, Massachusetts","Northfield town","2501147835","00",,"01147835",3010,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Orange town, Massachusetts","Orange town","2501151265","00",,"01151265",7705,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Rowe town, Massachusetts","Rowe town","2501158335","00",,"01158335",400,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Shelburne town, Massachusetts","Shelburne town","2501161135","00",,"01161135",1935,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Shutesbury town, Massachusetts","Shutesbury town","2501161905","00",,"01161905",1750,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Sunderland town, Massachusetts","Sunderland town","2501168400","00",,"01168400",3660,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Warwick town, Massachusetts","Warwick town","2501173265","00",,"01173265",750,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Wendell town, Massachusetts","Wendell town","2501174525","00",,"01174525",865,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Whately town, Massachusetts","Whately town","2501179110","00",,"01179110",1340,80000,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,842,859,1095,1467,1577,1095,1113,-1.6173,-18
"Agawam Town city, Massachusetts","Agawam Town city","2501300840","00",,"01300840",28750,77200,47850,54650,61500,68300,73800,79250,84700,90200,29900,34200,38450,42700,46150,49550,52950,56400,17950,20500,23050,26200,30680,35160,39640,44120,737,875,1115,1389,1611,1115,1061,5.08954,54
